[0/630] Accuracy : 0.0, loss : 4.089229583740234
[1/630] Accuracy : 0.0, loss : 4.09946870803833
[2/630] Accuracy : 0.0, loss : 4.096840858459473
[3/630] Accuracy : 0.015625, loss : 4.083980560302734
[4/630] Accuracy : 0.015625, loss : 4.0963263511657715
[5/630] Accuracy : 0.015625, loss : 4.102903842926025
[6/630] Accuracy : 0.015625, loss : 4.095312118530273
[7/630] Accuracy : 0.046875, loss : 4.094672203063965
[8/630] Accuracy : 0.0, loss : 4.093486785888672
[9/630] Accuracy : 0.0, loss : 4.092716217041016
[10/630] Accuracy : 0.0625, loss : 4.100975036621094
[11/630] Accuracy : 0.015625, loss : 4.080916881561279
[12/630] Accuracy : 0.046875, loss : 4.083882808685303
[13/630] Accuracy : 0.0, loss : 4.088780879974365
[14/630] Accuracy : 0.015625, loss : 4.089963436126709
[15/630] Accuracy : 0.015625, loss : 4.092557430267334
[16/630] Accuracy : 0.0, loss : 4.107212543487549
[17/630] Accuracy : 0.015625, loss : 4.1005144119262695
[18/630] Accuracy : 0.015625, loss : 4.092902183532715
[19/630] Accuracy : 0.078125, loss : 4.072720527648926
[20/630] Accuracy : 0.046875, loss : 4.086795330047607
[21/630] Accuracy : 0.046875, loss : 4.076259613037109
[22/630] Accuracy : 0.046875, loss : 4.088409900665283
[23/630] Accuracy : 0.03125, loss : 4.070681571960449
[24/630] Accuracy : 0.0, loss : 4.083058834075928
[25/630] Accuracy : 0.03125, loss : 4.075382709503174
[26/630] Accuracy : 0.046875, loss : 4.084133625030518
[27/630] Accuracy : 0.0, loss : 4.086807727813721
[28/630] Accuracy : 0.0625, loss : 4.057211875915527
[29/630] Accuracy : 0.015625, loss : 4.079988479614258
[30/630] Accuracy : 0.0625, loss : 4.0696210861206055
[31/630] Accuracy : 0.0625, loss : 4.060971736907959
[32/630] Accuracy : 0.046875, loss : 4.074042797088623
[33/630] Accuracy : 0.046875, loss : 4.07206916809082
[34/630] Accuracy : 0.03125, loss : 4.086112022399902
[35/630] Accuracy : 0.046875, loss : 4.048832416534424
[36/630] Accuracy : 0.03125, loss : 4.048193454742432
[37/630] Accuracy : 0.015625, loss : 4.060933589935303
[38/630] Accuracy : 0.0625, loss : 4.0570759773254395
[39/630] Accuracy : 0.015625, loss : 4.051320552825928
[40/630] Accuracy : 0.03125, loss : 4.050502777099609
[41/630] Accuracy : 0.0625, loss : 4.045344352722168
[42/630] Accuracy : 0.078125, loss : 4.014837265014648
[43/630] Accuracy : 0.0, loss : 4.050532817840576
[44/630] Accuracy : 0.109375, loss : 4.0426483154296875
[45/630] Accuracy : 0.015625, loss : 4.017049312591553
[46/630] Accuracy : 0.03125, loss : 4.062869071960449
[47/630] Accuracy : 0.03125, loss : 4.020208835601807
[48/630] Accuracy : 0.09375, loss : 4.025333404541016
[49/630] Accuracy : 0.03125, loss : 4.008321285247803
[50/630] Accuracy : 0.03125, loss : 3.976478099822998
[51/630] Accuracy : 0.015625, loss : 4.0215229988098145
[52/630] Accuracy : 0.015625, loss : 4.019872665405273
[53/630] Accuracy : 0.046875, loss : 3.9916839599609375
[54/630] Accuracy : 0.03125, loss : 4.007820129394531
[55/630] Accuracy : 0.0625, loss : 3.9712131023406982
[56/630] Accuracy : 0.03125, loss : 3.970140218734741
[57/630] Accuracy : 0.0625, loss : 3.951629400253296
[58/630] Accuracy : 0.109375, loss : 3.9205682277679443
[59/630] Accuracy : 0.03125, loss : 4.001272678375244
[60/630] Accuracy : 0.0625, loss : 3.9384233951568604
[61/630] Accuracy : 0.046875, loss : 3.9167613983154297
[62/630] Accuracy : 0.0, loss : 3.9445602893829346
[63/630] Accuracy : 0.0625, loss : 3.99177885055542
[64/630] Accuracy : 0.078125, loss : 3.910510540008545
[65/630] Accuracy : 0.03125, loss : 3.9287538528442383
[66/630] Accuracy : 0.03125, loss : 3.8990230560302734
[67/630] Accuracy : 0.0625, loss : 3.847777843475342
[68/630] Accuracy : 0.078125, loss : 3.843315839767456
[69/630] Accuracy : 0.078125, loss : 3.8069448471069336
[70/630] Accuracy : 0.03125, loss : 3.8756473064422607
[71/630] Accuracy : 0.015625, loss : 3.905811309814453
[72/630] Accuracy : 0.0625, loss : 3.8283231258392334
[73/630] Accuracy : 0.046875, loss : 3.9457955360412598
[74/630] Accuracy : 0.109375, loss : 3.711592674255371
[75/630] Accuracy : 0.0, loss : 3.814281940460205
[76/630] Accuracy : 0.046875, loss : 3.860379457473755
[77/630] Accuracy : 0.09375, loss : 3.7775309085845947
[78/630] Accuracy : 0.03125, loss : 3.9328107833862305
[79/630] Accuracy : 0.140625, loss : 3.7048428058624268
[80/630] Accuracy : 0.015625, loss : 3.8372316360473633
[81/630] Accuracy : 0.046875, loss : 3.8034911155700684
[82/630] Accuracy : 0.03125, loss : 3.675384521484375
[83/630] Accuracy : 0.078125, loss : 3.693899631500244
[84/630] Accuracy : 0.015625, loss : 3.9457461833953857
[85/630] Accuracy : 0.015625, loss : 3.6681861877441406
[86/630] Accuracy : 0.015625, loss : 3.7849626541137695
[87/630] Accuracy : 0.03125, loss : 3.7963263988494873
[88/630] Accuracy : 0.046875, loss : 3.7773478031158447
[89/630] Accuracy : 0.015625, loss : 3.875847816467285
[90/630] Accuracy : 0.015625, loss : 3.718010663986206
[91/630] Accuracy : 0.078125, loss : 3.6928904056549072
[92/630] Accuracy : 0.078125, loss : 3.696906805038452
[93/630] Accuracy : 0.046875, loss : 3.627317428588867
[94/630] Accuracy : 0.046875, loss : 3.6089816093444824
[95/630] Accuracy : 0.03125, loss : 3.693690538406372
[96/630] Accuracy : 0.046875, loss : 3.783250570297241
[97/630] Accuracy : 0.046875, loss : 3.807013988494873
[98/630] Accuracy : 0.078125, loss : 3.7559382915496826
[99/630] Accuracy : 0.015625, loss : 3.7301993370056152
[100/630] Accuracy : 0.015625, loss : 3.6577417850494385
[101/630] Accuracy : 0.046875, loss : 3.531116485595703
[102/630] Accuracy : 0.015625, loss : 3.8434014320373535
[103/630] Accuracy : 0.015625, loss : 3.819542646408081
[104/630] Accuracy : 0.015625, loss : 3.740955352783203
[105/630] Accuracy : 0.046875, loss : 3.647587299346924
[106/630] Accuracy : 0.046875, loss : 3.704259157180786
[107/630] Accuracy : 0.03125, loss : 3.9571495056152344
[108/630] Accuracy : 0.015625, loss : 3.8436639308929443
[109/630] Accuracy : 0.046875, loss : 3.7224655151367188
[110/630] Accuracy : 0.015625, loss : 3.782400369644165
[111/630] Accuracy : 0.015625, loss : 3.6688783168792725
[112/630] Accuracy : 0.03125, loss : 3.796220541000366
[113/630] Accuracy : 0.046875, loss : 3.8239638805389404
[114/630] Accuracy : 0.015625, loss : 3.920438051223755
[115/630] Accuracy : 0.03125, loss : 3.853426218032837
[116/630] Accuracy : 0.015625, loss : 3.9369406700134277
[117/630] Accuracy : 0.0, loss : 3.79585599899292
[118/630] Accuracy : 0.078125, loss : 3.697723627090454
[119/630] Accuracy : 0.046875, loss : 3.591163158416748
[120/630] Accuracy : 0.0625, loss : 3.653726100921631
[121/630] Accuracy : 0.03125, loss : 3.689159393310547
[122/630] Accuracy : 0.03125, loss : 3.820450782775879
[123/630] Accuracy : 0.03125, loss : 3.7421135902404785
[124/630] Accuracy : 0.015625, loss : 3.802621841430664
[125/630] Accuracy : 0.046875, loss : 3.6024365425109863
[126/630] Accuracy : 0.0625, loss : 3.7350637912750244
[127/630] Accuracy : 0.078125, loss : 3.7823965549468994
[128/630] Accuracy : 0.046875, loss : 3.607267141342163
[129/630] Accuracy : 0.109375, loss : 3.6216719150543213
[130/630] Accuracy : 0.03125, loss : 3.7967216968536377
[131/630] Accuracy : 0.03125, loss : 3.652479410171509
[132/630] Accuracy : 0.046875, loss : 3.744110345840454
[133/630] Accuracy : 0.03125, loss : 3.6811656951904297
[134/630] Accuracy : 0.09375, loss : 3.6266627311706543
[135/630] Accuracy : 0.015625, loss : 3.7284157276153564
[136/630] Accuracy : 0.046875, loss : 3.753469467163086
[137/630] Accuracy : 0.046875, loss : 3.681021213531494
[138/630] Accuracy : 0.015625, loss : 3.6928226947784424
[139/630] Accuracy : 0.015625, loss : 3.6056673526763916
[140/630] Accuracy : 0.03125, loss : 3.709357261657715
[141/630] Accuracy : 0.015625, loss : 3.6411283016204834
[142/630] Accuracy : 0.0625, loss : 3.8071324825286865
[143/630] Accuracy : 0.046875, loss : 3.6187610626220703
[144/630] Accuracy : 0.015625, loss : 3.6619977951049805
[145/630] Accuracy : 0.046875, loss : 3.42410945892334
[146/630] Accuracy : 0.0625, loss : 3.483717203140259
[147/630] Accuracy : 0.046875, loss : 3.646843910217285
[148/630] Accuracy : 0.046875, loss : 3.725369691848755
[149/630] Accuracy : 0.03125, loss : 3.583789348602295
[150/630] Accuracy : 0.09375, loss : 3.584041118621826
[151/630] Accuracy : 0.046875, loss : 3.506990909576416
[152/630] Accuracy : 0.015625, loss : 3.6088523864746094
[153/630] Accuracy : 0.015625, loss : 3.4846153259277344
[154/630] Accuracy : 0.0625, loss : 3.7110471725463867
[155/630] Accuracy : 0.015625, loss : 3.7877116203308105
[156/630] Accuracy : 0.046875, loss : 3.551487684249878
[157/630] Accuracy : 0.046875, loss : 3.627638816833496
[158/630] Accuracy : 0.03125, loss : 3.8417370319366455
[159/630] Accuracy : 0.015625, loss : 3.5980989933013916
[160/630] Accuracy : 0.03125, loss : 3.584620237350464
[161/630] Accuracy : 0.03125, loss : 3.722562313079834
[162/630] Accuracy : 0.015625, loss : 3.6790051460266113
[163/630] Accuracy : 0.015625, loss : 3.8398854732513428
[164/630] Accuracy : 0.078125, loss : 3.8345088958740234
[165/630] Accuracy : 0.046875, loss : 3.5799362659454346
[166/630] Accuracy : 0.015625, loss : 3.6397476196289062
[167/630] Accuracy : 0.03125, loss : 3.8282833099365234
[168/630] Accuracy : 0.046875, loss : 3.675532341003418
[169/630] Accuracy : 0.0625, loss : 3.6515791416168213
[170/630] Accuracy : 0.046875, loss : 3.7862777709960938
[171/630] Accuracy : 0.0625, loss : 3.828481912612915
[172/630] Accuracy : 0.03125, loss : 3.627922296524048
[173/630] Accuracy : 0.015625, loss : 3.674023389816284
[174/630] Accuracy : 0.0, loss : 3.9989798069000244
[175/630] Accuracy : 0.0625, loss : 3.6370110511779785
[176/630] Accuracy : 0.046875, loss : 3.5663602352142334
[177/630] Accuracy : 0.015625, loss : 3.720106601715088
[178/630] Accuracy : 0.078125, loss : 3.75579571723938
[179/630] Accuracy : 0.046875, loss : 3.6651203632354736
[180/630] Accuracy : 0.03125, loss : 3.916569471359253
[181/630] Accuracy : 0.046875, loss : 3.7335360050201416
[182/630] Accuracy : 0.0625, loss : 3.585158109664917
[183/630] Accuracy : 0.0625, loss : 3.4637045860290527
[184/630] Accuracy : 0.015625, loss : 3.6451520919799805
[185/630] Accuracy : 0.015625, loss : 3.799192190170288
[186/630] Accuracy : 0.0625, loss : 3.6986024379730225
[187/630] Accuracy : 0.03125, loss : 3.968510627746582
[188/630] Accuracy : 0.015625, loss : 4.067195415496826
[189/630] Accuracy : 0.109375, loss : 3.6029903888702393
[190/630] Accuracy : 0.09375, loss : 3.7324445247650146
[191/630] Accuracy : 0.09375, loss : 3.7477142810821533
[192/630] Accuracy : 0.09375, loss : 3.491138458251953
[193/630] Accuracy : 0.09375, loss : 3.949779748916626
[194/630] Accuracy : 0.015625, loss : 4.178562164306641
[195/630] Accuracy : 0.0625, loss : 3.6690614223480225
[196/630] Accuracy : 0.015625, loss : 3.9811904430389404
[197/630] Accuracy : 0.046875, loss : 3.8895061016082764
[198/630] Accuracy : 0.015625, loss : 4.180087566375732
[199/630] Accuracy : 0.046875, loss : 3.8533575534820557
[200/630] Accuracy : 0.015625, loss : 3.7295138835906982
[201/630] Accuracy : 0.015625, loss : 3.596036911010742
[202/630] Accuracy : 0.0625, loss : 3.6935393810272217
[203/630] Accuracy : 0.0, loss : 4.160704612731934
[204/630] Accuracy : 0.03125, loss : 3.9824795722961426
